epoch,train_loss,train_acc,val_loss,val_acc
1,2.123411,0.216400,1.951899,0.285000
2,1.748223,0.364000,1.718734,0.387500
3,1.555731,0.446800,1.610363,0.468500
4,1.392065,0.497800,1.491749,0.475000
5,1.279431,0.550400,1.468113,0.505500
