epoch,train_loss,train_acc,val_loss,val_acc
1,2.332913,0.102000,2.316554,0.099500
2,2.311340,0.100800,2.315805,0.099500
3,2.308499,0.100400,2.305370,0.099000
4,2.307262,0.102200,2.309644,0.097500
5,2.306526,0.099000,2.302477,0.108500
6,2.308136,0.107600,2.308674,0.096500
7,2.308044,0.104200,2.308274,0.096500
8,2.306736,0.102600,2.324322,0.101500
9,2.306368,0.097200,2.305829,0.098000
10,2.306703,0.106800,2.301983,0.108000
