epoch,train_loss,train_acc,val_loss,val_acc
1,2.079494,0.244600,1.911562,0.297500
2,1.742248,0.369000,1.694597,0.388500
3,1.565596,0.437800,1.602314,0.432000
4,1.437344,0.490400,1.488946,0.485000
5,1.318030,0.528200,1.630237,0.444000
