epoch,train_loss,train_acc,val_loss,val_acc
1,2.326908,0.098200,2.325152,0.097500
2,2.309464,0.097000,2.303766,0.101500
3,2.308256,0.103000,2.307133,0.108500
4,2.306731,0.102200,2.306568,0.099500
5,2.306583,0.104000,2.302563,0.099000
6,2.307190,0.098800,2.308002,0.096500
7,2.306032,0.100600,2.307793,0.099000
8,2.307675,0.095000,2.305415,0.101500
9,2.306325,0.093400,2.303475,0.097500
10,2.306390,0.102800,2.304830,0.097500
