epoch,train_loss,train_acc,val_loss,val_acc
1,2.163523,0.194400,2.110327,0.279500
2,1.863448,0.319200,1.792772,0.380000
3,1.685265,0.388800,1.666968,0.430500
4,1.542058,0.451200,1.738114,0.422500
5,1.436087,0.478600,1.523528,0.484000
