epoch,train_loss,train_acc,val_loss,val_acc
1,2.331274,0.095800,2.313971,0.099000
2,2.320175,0.093000,2.309334,0.099500
3,2.314663,0.105400,2.333679,0.101500
4,2.312495,0.099800,2.303189,0.097500
5,2.310122,0.098200,2.310016,0.108000
6,2.309766,0.105600,2.314399,0.098000
7,2.314066,0.106200,2.311895,0.099000
8,2.308429,0.105800,2.304165,0.096500
9,2.307484,0.105600,2.307226,0.108000
10,2.308931,0.102400,2.304256,0.108000
